Type,Name,Website,Address
fast_food,Steak 'n Shake,Not Provided," Rockville Road, Avon, Hendricks County, Indiana, 46231, United States"
restaurant,Texas Roadhouse,Not Provided," Shiloh Professional Drive, Avon, Hendricks County, Indiana, 46231, United States"
fast_food,Taco Bell,Not Provided," Rockville Road, Avon, Hendricks County, Indiana, 46123, United States"
fast_food,Arby's,Not Provided," Avon Crossing Drive, Avon, Hendricks County, Indiana, 46123, United States"
fast_food,Burger King,Not Provided," Rockville Road, Avon, Hendricks County, Indiana, 46123, United States"
fast_food,Subway,Not Provided," Runkle Way, Bloomington, Monroe County, Indiana, 47403, United States"
restaurant,Casa Brava,Not Provided," Runkle Way, Bloomington, Monroe County, Indiana, 47403, United States"
fast_food,Subway,Not Provided," West Richland Plaza, Ellettsville, Monroe County, Indiana, 47404, United States"
restaurant,PizzaExpress,Not Provided," West Richland Plaza, Ellettsville, Monroe County, Indiana, 47404, United States"
restaurant,Hilltop Restaurant,Not Provided," 2434, US Highway 231, Spencer, Owen County, Indiana, 47460, United States"
fast_food,Burger King,Not Provided," North Morton Street, Franklin, Johnson County, Indiana, 46131, United States"
fast_food,Arby's,Not Provided," North Morton Street, Franklin, Johnson County, Indiana, 46131, United States"
fast_food,White Castle,Not Provided," North Morton Street, Franklin, Johnson County, Indiana, 46131, United States"
fast_food,McDonald's,Not Provided," 1139, North Morton Street, Franklin, Johnson County, Indiana, 46131, United States"
fast_food,Arby's,Not Provided," North Main Street, Cloverdale, Putnam County, Indiana, 46120, United States"
restaurant,El Hacienda,Not Provided," East County Road 900 South, Cloverdale, Putnam County, Indiana, 46120, United States"
restaurant,Rock Star Pizza,Not Provided," East Main Street, Brownsburg, Hendricks County, Indiana, 46167, United States"
fast_food,Papa John's,Not Provided," State Road 46, Bloomington, Monroe County, Indiana, 47404, United States"
cafe,Starbucks,https://www.starbucks.com/store/17712," 284, North Jacob Drive, Bloomington, Monroe County, Indiana, 47404, United States"
fast_food,Penn Station,http://www.penn-station.com/," 256, North Jacob Drive, Bloomington, Monroe County, Indiana, 47404, United States"
restaurant,Ruby Tuesday,Not Provided," US 31, Indianapolis, Marion County, Indiana, 46227, United States"
restaurant,The Cheesecake Factory,https://www.thecheesecakefactory.com/," 1251, Greenwood Park Drive West, Greenwood, Johnson County, Indiana, 46142, United States"
restaurant,The Cheesecake Factory,https://www.thecheesecakefactory.com/," 8701, Commerce Crossing, Indianapolis, Marion County, Indiana, 46240, United States"
restaurant,Applebee's,https://www.applebees.com/," 1251, Greenwood Park Drive West, Greenwood, Johnson County, Indiana, 46142, United States"
fast_food,Jiffy Treat,Not Provided," 233, South Pete Ellis Drive, Bloomington, Monroe County, Indiana, 47401, United States"
fast_food,Subway,Not Provided," 401, South Woodlawn Avenue, Bloomington, Monroe County, Indiana, 47401, United States"
cafe,Campus Cafe,Not Provided," 1320, East 10th Street, Bloomington, Monroe County, Indiana, 47408, United States"
restaurant,Pizza Hut,Not Provided," 9745, Fall Creek Road, Fall Creek Highland, Indianapolis, Marion County, Indiana, 46256, United States"
restaurant,Bobby's Pub,Not Provided," 101, West Kirkwood Avenue, Bloomington, Monroe County, Indiana, 47404, United States"
restaurant,Stephano's Ice Cafe,Not Provided," 101, West Kirkwood Avenue, Bloomington, Monroe County, Indiana, 47404, United States"
fast_food,Subway,Not Provided," Northwestern Avenue, West Lafayette, Tippecanoe County, Indiana, 47906, United States"
