Type,Name,Website,Address
community_centre,Christ Community Church,Not Provided," North Gray Road, Carmel, Hamilton County, Indiana, 46033, United States"
theatre,The Cat,Not Provided," Veterans Way, Carmel, Hamilton County, Indiana, 46032, United States"
community_centre,Carmel Christian Church,Not Provided," East Main Street, Carmel, Hamilton County, Indiana, 46033, United States"
community_centre,Carmel United Methodist Church,Not Provided," East Walnut Street, Newark Village, Carmel, Hamilton County, Indiana, 46032, United States"
community_centre,College Park Baptist Church,Not Provided," West 96th Street, North Augusta Addition, Carmel, Hamilton County, Indiana, 46268, United States"
community_centre,Heartland Unitarian Universalist Church,Not Provided," North Michigan Road, North Augusta Addition, Carmel, Hamilton County, Indiana, 46032, United States"
community_centre,Congregation Shaarey Tefilla,Not Provided," West 116th Street, Carmel, Hamilton County, Indiana, 46032, United States"
theatre,The Snake Pit,Not Provided," Shaw Drive, Indianapolis, Marion County, Indiana, 46222, United States"
theatre,Delphi Opera House,https://www.delphioperahouse.org/," 109, South Washington Street, Delphi, Carroll County, Indiana, 46923, United States"
community_centre,Stardust Hills Community Center,Not Provided," Small Fry Avenue, Cloverdale, Putnam County, Indiana, 46120, United States"
social_centre,American Legion Hall,Not Provided," North George Court, East Monticello, White County, Indiana, 47960, United States"
theatre,,Not Provided," University Boulevard, Historic Ransom Place, Indianapolis, Marion County, Indiana, 46202, United States"
nightclub,The Bluebird,Not Provided," North Walnut Street, Bloomington, Monroe County, Indiana, 47402, United States"
nightclub,The Verve,https://vervenightclub.com/," 677, Wabash Avenue, Terre Haute, Vigo County, Indiana, 47807, United States"
cinema,YES Cinema,http://www.yescinema.org/?ct," 328, Jackson Street, Columbus, Bartholomew County, Indiana, 47201, United States"
cinema,Twin Lakes Cinema,Not Provided," 107, South Main Street, Monticello, White County, Indiana, 47960, United States"
cinema,Princess Theater,Not Provided," 330, North Main Street, Rushville, Rush County, Indiana, 46176, United States"
nightclub,Tini,Not Provided," 717, Massachusetts Avenue, Massachusetts Avenue Commercial District, Chatham-Arch, Indianapolis, Marion County, Indiana, 46202, United States"
social_centre,Eagles Lodge,Not Provided," Swan Street, Terre Haute, Vigo County, Indiana, 47807, United States"
social_centre,Pi Kappa Alpha Theta Omicron,Not Provided," North 7th Street, Terre Haute, Vigo County, Indiana, 47804, United States"
social_centre,Sigma Kappa - ISU,Not Provided," Elm Street, Terre Haute, Vigo County, Indiana, 47807, United States"
community_centre,Quail Run Community Center,Not Provided," Bradston Way, Indianapolis, Marion County, Indiana, 46237, United States"
social_centre,Phi Kappa Psi,https://www.phikappapsi.com/," Manor House Circle, Indianapolis, Marion County, Indiana, 46226, United States"
social_centre,Plumbers & Steamfitters - Local 157,Not Provided," Chamberlain Street, Terre Haute, Vigo County, Indiana, 47805, United States"
social_centre,AM Vets Post 222,Not Provided," West Taylor Drive, Taylorville, Vigo County, Indiana, 47885, United States"
social_centre,IUPAT DC91 Local 197,http://iupatdc91.com/locals/local-197/," Locust Street, Terre Haute, Vigo County, Indiana, 47807, United States"
social_centre,Laborers International Union Of North America No. 204,Not Provided," East Poplar Street, Terre Haute, Vigo County, Indiana, 47803, United States"
social_centre,Fraternal Order of Police,Not Provided," Hulman Street, Terre Haute, Vigo County, Indiana, 47803, United States"
theatre,Irving Theater,Not Provided," East Washington Street, Irvington, Indianapolis, Marion County, Indiana, 46129, United States"
community_centre,V.O.I.C.E.S Corp,Not Provided," Shelby Street, Indianapolis, Marion County, Indiana, 46227, United States"
theatre,,Not Provided," Lafayette Avenue, Twelve Points, Terre Haute, Vigo County, Indiana, 47804, United States"
cinema,Cinemark,Not Provided," 1351, South College Mall Road, Bloomington, Monroe County, Indiana, 47401, United States"
cinema,IU Cinema,Not Provided," 275, North Eagleson Avenue, Bloomington, Monroe County, Indiana, 47405, United States"
arts_centre,Harrison Center for the Arts,Not Provided," East 15th Street, Old Northside, Indianapolis, Marion County, Indiana, 46202, United States"
arts_centre,Indianapolis Opera,Not Provided," East 40th Street, Meridian Kessler, Indianapolis, Marion County, Indiana, 46205, United States"
arts_centre,Indianapolis Movement Arts Collective,Not Provided," East 40th Street, Meridian Kessler, Indianapolis, Marion County, Indiana, 46205, United States"
community_centre,Hispanic American Civic Assoc.,Not Provided," Shelby Street, Garfield Park, Indianapolis, Marion County, Indiana, 46227, United States"
community_centre,Near East Area Renewal (NEAR),Not Provided," East 10th Street, Rivoli Park, Near Eastside, Indianapolis, Marion County, Indiana, 46219, United States"
theatre,First Merchants Pavilion,Not Provided," West Conner Street, West Noblesville, Noblesville, Hamilton County, Indiana, 46060, United States"
cinema,Regal Cinemas 10,Not Provided," Town & Country Boulevard, Stony Creek Marketplace, Noblesville, Hamilton County, Indiana, 46060, United States"
social_centre,Alpha Tau Omega Fraternity - Gamma Omicron,Not Provided," Tarkington Drive, West Lafayette, Tippecanoe County, Indiana, 47907, United States"
cinema,Emagine Cinemas 16,Not Provided," 13825, Norell Road, Hamilton Town Center, Hamilton County, Indiana, 46060, United States"
social_centre,Benchmark Human Services,Not Provided," Directors Row, Indianapolis, Marion County, Indiana, 46241, United States"
theatre,James Dean Memorial Theater,Not Provided," 505, South Washington Street, Marion, Grant County, Indiana, 46953, United States"
social_centre,Reach Veteran Services,Not Provided," East Poplar Street, Terre Haute, Vigo County, Indiana, 47803, United States"
community_centre,Hannah center,Not Provided," 808, North College Avenue, Bloomington, Monroe County, Indiana, 47404, United States"
theatre,"Community Theatre of Clay County, Inc.",Not Provided," Inc., East National Avenue, Brazil, Clay County, Indiana, 47834, United States"
nightclub,The Bounty Lounge,Not Provided," East National Avenue, Brazil, Clay County, Indiana, 47834, United States"
cinema,AMC Indianapolis 17,Not Provided," 4325, South Meridian Street, Indianapolis, Marion County, Indiana, 46217, United States"
community_centre,Depot Community Room,https://www.cityofkokomo.org/departments/depot_community_room.php," North Buckeye Street, Kokomo, Howard County, Indiana, 46901, United States"
theatre,,Not Provided," Indiana, United States"
